time,sym,price,volume
2017-04-20 17:03:30.351250,APPL,,0
2017-04-20 17:03:44.131099,APPL,,0
2017-04-20 17:04:40.427649,APPL,,0
2017-04-20 17:04:46.855160,APPL,,0
2017-04-20 17:05:47.271425,APPL,,0
2017-04-20 17:05:50.236224,APPL,,0
2017-04-20 17:06:49.917915,APPL,,0
2017-04-20 17:06:52.820921,APPL,,0
2017-04-20 17:07:52.852904,APPL,,0
2017-04-20 17:07:55.889998,APPL,,0
2017-04-20 17:08:56.639905,APPL,,0
2017-04-20 17:08:59.121295,APPL,,0
2017-04-20 17:09:59.897758,APPL,,0
2017-04-20 17:10:02.177898,APPL,,0
2017-04-20 17:11:04.796585,APPL,,0
2017-04-20 17:12:07.317188,APPL,,0
2017-04-20 17:13:16.583175,APPL,,0
2017-04-20 17:14:19.513381,APPL,,0
2017-04-20 17:15:22.197077,APPL,,0
2017-04-20 17:16:24.985642,APPL,,0
2017-04-20 17:17:27.553204,APPL,,0
2017-04-20 17:18:30.378022,APPL,,0
2017-04-20 17:19:33.132030,APPL,,0
2017-04-20 17:20:35.632081,APPL,,0
2017-04-20 17:21:38.665613,APPL,,0
2017-04-20 17:22:41.385191,APPL,,0
2017-04-20 17:23:44.760001,APPL,,0
2017-04-20 17:24:47.220402,APPL,,0
2017-04-20 17:25:49.761317,APPL,,0
2017-04-20 17:26:52.187175,APPL,,0
2017-04-20 17:27:54.763103,APPL,,0
2017-04-20 17:28:57.239243,APPL,,0
2017-04-20 17:30:00.090105,APPL,,0
2017-04-20 17:31:02.721878,APPL,,0
2017-04-20 17:32:05.874926,APPL,,0
2017-04-20 17:33:08.546343,APPL,,0
2017-04-20 17:34:11.241950,APPL,,0
2017-04-20 17:35:13.742580,APPL,,0
2017-04-20 17:36:17.557751,APPL,,0
2017-04-20 17:37:20.192284,APPL,,0
2017-04-20 17:38:22.676418,APPL,,0
2017-04-20 17:39:25.126097,APPL,,0
2017-04-20 17:40:27.775976,APPL,,0
2017-04-20 17:41:30.487298,APPL,,0
2017-04-20 17:42:32.976232,APPL,,0
2017-04-20 17:43:37.992782,APPL,,0
2017-04-20 17:44:40.804141,APPL,,0
2017-04-20 17:45:43.957966,APPL,,0
2017-04-20 17:46:47.343301,APPL,,0
2017-04-20 17:47:50.055291,APPL,,0
2017-04-20 17:48:52.577764,APPL,,0
2017-04-20 17:49:55.186619,APPL,,0
2017-04-20 17:50:58.264156,APPL,,0
2017-04-20 17:52:00.908370,APPL,,0
2017-04-20 17:53:03.715048,APPL,,0
2017-04-20 17:54:06.519823,APPL,,0
2017-04-20 17:55:10.288573,APPL,,0
2017-04-20 17:56:14.223453,APPL,,0
2017-04-20 17:57:16.917284,APPL,,0
2017-04-20 17:58:19.604803,APPL,,0
2017-04-20 17:59:22.241450,APPL,,0
2017-04-20 18:00:25.095349,APPL,,0
2017-04-20 18:01:27.623874,APPL,,0
2017-04-20 18:02:48.952960,APPL,,0
2017-04-20 18:03:51.669970,APPL,,0
2017-04-20 18:04:54.368927,APPL,,0
2017-04-20 18:05:57.255883,APPL,,0
2017-04-20 18:06:59.850085,APPL,,0
2017-04-20 18:08:02.433522,APPL,,0
2017-04-20 18:09:05.084276,APPL,,0
2017-04-20 18:10:07.574466,APPL,,0
2017-04-20 18:11:10.318145,APPL,,0
2017-04-20 18:12:13.193068,APPL,,0
2017-04-20 18:13:15.835781,APPL,,0
2017-04-20 18:14:18.581960,APPL,,0
2017-04-20 18:15:21.444021,APPL,,0
2017-04-20 18:16:24.217612,APPL,,0
2017-04-20 18:17:26.937557,APPL,,0
2017-04-20 18:18:29.973587,APPL,,0
2017-04-20 18:19:32.466556,APPL,,0
2017-04-20 18:20:35.108517,APPL,,0
2017-04-20 18:21:37.781728,APPL,,0
2017-04-20 18:22:40.314261,APPL,,0
2017-04-20 18:23:42.819700,APPL,,0
2017-04-20 18:24:45.452346,APPL,,0
